kernel,start,objective,converged,evaluations,boundary_hit,param_0,param_1,param_2,test_year,best_for_fold,param_3,param_4
matern32,15,50120.55883023562,True,121,False,1.7549850291977331,2.08846357956905,-2.382078536323179,2009,True,,
matern32,16,50120.73588827666,True,127,False,1.7472989803628443,2.085092150015454,-2.3819950394979097,2009,True,,
matern32,17,50120.55059258883,True,167,False,1.7493925703129585,2.0846746499181665,-2.379200261327005,2009,True,,
matern32,18,50121.120164516855,True,166,False,1.7437709772379701,2.078317886173173,-2.3792002613270093,2009,False,,
matern32,19,50120.64107216576,True,155,False,1.767145636411887,2.094206234213642,-2.374877660582974,2009,True,,
matern52,0,50928.5680106331,True,121,False,1.6951898522558244,1.7928473716531586,-2.2205118173118983,2009,False,,
matern52,1,50928.45577323645,True,109,False,1.7065358413246852,1.801079913870746,-2.215740642613376,2009,True,,
matern52,2,50927.99877369232,True,145,False,1.6877100571275543,1.7958776557191451,-2.214139601496985,2009,True,,
matern52,3,50928.68666521613,True,190,False,1.6980508664427747,1.7996360073642157,-2.1978420395954563,2009,False,,
matern52,4,50928.640526574,True,173,False,1.70019666908074,1.7945217589413636,-2.2205118173118965,2009,False,,
matern52,5,50928.60149157785,True,184,False,1.6911803631685576,1.791433708815647,-2.220511817311901,2009,False,,
matern52,6,50929.539410210906,True,161,False,1.6744224716598959,1.7857125871730781,-2.2205118173118965,2009,False,,
matern52,7,50928.76422338307,True,179,False,1.6993171963004297,1.7929778110459353,-2.220511817311896,2009,False,,
matern52,8,50928.48421964033,True,109,False,1.6762710336567268,1.7914321861320837,-2.2114721391334227,2009,True,,
matern52,9,50928.57593961332,True,121,False,1.677200906216808,1.793296603115794,-2.204545082601657,2009,False,,
matern52,10,50928.734537574244,True,121,False,1.675138802664791,1.7892134013773964,-2.2115547750364453,2009,False,,
matern52,11,50929.13761735495,True,127,False,1.6915811138032042,1.789598800107954,-2.22318884395661,2009,False,,
matern52,12,50928.05284855766,True,127,False,1.698825061517227,1.7957168957212175,-2.210480933232834,2009,True,,
matern52,13,50928.20775161365,True,145,False,1.6883770614674922,1.7992778829739617,-2.212311048577536,2009,True,,
matern52,14,50928.76258243702,True,127,False,1.7078140544182938,1.80523330124552,-2.200560562052564,2009,False,,
matern52,15,50928.20763171473,True,103,False,1.6957877780526907,1.7932661011047495,-2.2135726142661474,2009,True,,
matern52,16,50928.167150171736,True,133,False,1.689983820947221,1.8007653598901325,-2.207972546938083,2009,True,,
matern52,17,50928.402580302914,True,139,False,1.7031047517981568,1.799523574536445,-2.20228606785116,2009,True,,
matern52,18,50928.50993126536,True,133,False,1.6767111833494575,1.7909715470573508,-2.213573869426473,2009,False,,
matern52,19,50928.881454109964,True,148,False,1.6786190527510443,1.7910311818803488,-2.220511817311896,2009,False,,
periodic,0,57713.7148343695,True,115,False,1.6772009062168083,0.1367159898965217,-1.631097596684352,2009,False,,
periodic,1,57712.943376553616,True,121,False,1.6790767464156462,0.1318089235677728,-1.6445732310830328,2009,True,,
periodic,2,57712.79868464281,True,139,False,1.678087334996534,0.136015930425636,-1.6433659169589592,2009,True,,
periodic,3,57713.83078797794,True,150,False,1.6772009062168078,0.14075223748850224,-1.6310975966843504,2009,False,,
periodic,4,57713.58563604059,True,103,False,1.6608494903645967,0.13171684854291524,-1.6342781899024619,2009,False,,
periodic,5,57713.75291584112,True,115,False,1.6659170892441015,0.1320957069638212,-1.653817320784767,2009,False,,
periodic,6,57712.841886337235,True,121,False,1.67352070958672,0.1357267016638265,-1.6449866374694126,2009,True,,
periodic,7,57712.91624870819,True,115,False,1.665861659573596,0.13502783985938147,-1.6409299414720133,2009,True,,
periodic,8,57713.13998244362,True,133,False,1.6674616484594766,0.13729528486779227,-1.6378522116102952,2009,True,,
periodic,9,57713.37145246758,True,103,False,1.679183569197307,0.1305748562288021,-1.65101827498747,2009,True,,
periodic,10,57713.026708103745,True,127,False,1.6850223635357238,0.13699879456289388,-1.6418127180373974,2009,True,,
periodic,11,57713.287283652986,True,109,False,1.6820304873515604,0.13532500045135554,-1.6496636565531086,2009,True,,
periodic,12,57713.72885684361,True,212,False,1.6713558932690251,0.13489465358590605,-1.6310975966843542,2009,False,,
periodic,13,57713.284243106325,True,109,False,1.6756506702946752,0.12937866630506104,-1.6506508569322436,2009,True,,
periodic,14,57713.825123152805,True,220,False,1.679037255255213,0.1407442046820736,-1.6310975966843542,2009,False,,
periodic,15,57713.87236637408,True,139,False,1.6812723099002125,0.14101624689977738,-1.6310406681286391,2009,False,,
periodic,16,57713.59795267833,True,121,False,1.665804668295004,0.13104423075373903,-1.6534065559073121,2009,False,,
periodic,17,57751.40690864122,False,240,False,1.5661928058739614,0.0791605001317025,-1.6764371521172472,2009,False,,
periodic,18,57713.02159342458,True,127,False,1.6748706421508186,0.13742203483714283,-1.636612215817227,2009,True,,
periodic,19,57712.98144173088,True,138,False,1.677200906216808,0.13559799260571181,-1.6369977463099041,2009,True,,
locally_periodic,0,50135.68513973127,True,193,True,1.7671456364118883,2.302585092994046,2.096796322848515,2009,True,-2.3792002613270067,
locally_periodic,1,50433.86324666149,False,240,False,1.595520462154801,0.9119278970229683,2.162515014998863,2009,False,-2.3287668614325834,
locally_periodic,2,50137.702650534266,False,240,True,1.7654477855507933,2.302585092994046,2.1088079018718515,2009,False,-2.3565304836105607,
locally_periodic,3,50135.78915313803,True,183,True,1.7421471231090317,2.302585092994046,2.085918670901194,2009,True,-2.379200261327005,
locally_periodic,4,50136.219384700686,True,157,True,1.7687339078603226,2.302585092994046,2.095425587964411,2009,False,-2.385927965525341,
locally_periodic,5,50135.59030672062,True,190,True,1.7486778054973227,2.302585092994046,2.0932266220716578,2009,True,-2.379200261327005,
locally_periodic,6,50137.64294990723,False,240,True,1.7221588410189028,2.302585092994046,2.08445684192465,2009,False,-2.3797791034350975,
locally_periodic,7,50135.670986149315,True,240,True,1.7502632409935608,2.302585092994046,2.0948149428377745,2009,True,-2.379200261327005,
locally_periodic,8,50135.84634511517,True,162,True,1.7691190868437936,2.302585092994046,2.1003371970413225,2009,True,-2.379200261327008,
locally_periodic,9,50135.70974061002,True,236,True,1.7649001300228413,2.302585092994046,2.1012179788233953,2009,True,-2.369506991107953,
locally_periodic,10,50135.875996318326,True,230,True,1.741800937083289,2.302585092994046,2.092495075802566,2009,True,-2.3690051812953397,
locally_periodic,11,50136.039361035604,True,159,True,1.7362506976877676,2.302585092994046,2.0857944215860713,2009,False,-2.373127307532576,
locally_periodic,12,50135.750410579996,True,173,True,1.7582409874350233,2.302585092994046,2.0932223220496105,2009,True,-2.3846548005223878,
locally_periodic,13,50322.46411648646,False,240,False,1.7656552054466013,1.0957101864305985,2.162515014998863,2009,False,-2.3481397429374704,
locally_periodic,14,50135.41670981227,False,240,True,1.7574619440111547,2.302585092994046,2.093555120153543,2009,True,-2.379200261327008,
locally_periodic,15,50135.90255938555,True,147,True,1.7666072992973827,2.302585092994046,2.097980293446062,2009,True,-2.383014198437038,
locally_periodic,16,50135.61929611681,True,150,True,1.7544634590381833,2.302585092994046,2.0973779640052723,2009,True,-2.3766064003207084,
locally_periodic,17,50136.10879653567,True,192,True,1.77281862679849,2.302585092994046,2.1022911496567502,2009,False,-2.379200261327005,
locally_periodic,18,50136.64310563021,True,191,True,1.7295480897413749,2.302585092994046,2.0815172257090997,2009,False,-2.379200261327005,
locally_periodic,19,50163.49429990608,False,240,True,1.6800835985393585,2.302585092994046,2.0310776306981677,2009,False,-2.4088300510075324,
additive,0,49503.77700456347,True,231,False,1.5332893379046801,1.2304439090686936,0.7237867661489611,2009,True,1.636765477796084,-2.4472095944763392
additive,1,49507.48884408267,False,240,False,1.528661922290285,1.2905105950047986,0.7779884522255213,2009,False,1.6721407401567052,-2.4225456786823147
additive,2,49650.788501136834,False,240,False,1.7728127876307327,1.0217345637309243,0.2716676304510815,2009,False,1.4119608103417594,-2.401870039043449
additive,3,50054.06325952039,False,240,False,-2.1614609160729246,-2.0439378601141205,1.7255986388056173,2009,False,2.1330731938675322,-7.842616690990038
additive,4,49511.89679313743,False,240,False,1.5743037026480957,1.1610129436482777,0.6160173406469103,2009,False,1.5975033124949112,-2.4638135602865696
additive,5,49507.61706776498,False,240,False,1.5688721147116256,1.223388958980544,0.6987775769869987,2009,False,1.6096386663267634,-2.46521118406901
additive,6,49514.21110432134,False,240,False,1.4929085320566766,1.3381003381407377,0.787203258361429,2009,False,1.685337497375028,-2.4121155050413576
additive,7,49900.18935049635,False,240,False,-1.7600042041032682,-0.8414640373961775,1.796517300887129,2009,False,2.3099605730676136,-2.4046676985238356
additive,8,49509.71877108633,False,240,False,1.584932044910432,1.2249023871230362,0.6878088740709297,2009,False,1.6012450050469356,-2.4687873468058217
additive,9,49551.84057235083,False,240,False,1.347058892353504,1.4380186370992765,1.012632294225287,2009,False,1.7800152132038423,-2.4533975012094746
additive,10,49596.44027810839,False,240,False,1.2576693437300197,1.8132857607328114,1.2003887775500273,2009,False,1.8425059224304958,-2.428337204528677
additive,11,49646.50221824278,False,240,False,1.644053092440204,0.9172368651349416,0.2373449603948078,2009,False,1.4142755323476481,-2.536099603843741
additive,12,49551.49672149761,False,240,False,1.407366715631569,1.2664218011467256,0.788313915835875,2009,False,1.6275945190260999,-2.396744763512141
additive,13,49517.5284337108,False,240,False,1.6232340680997597,1.151292546497023,0.5720251189626879,2009,False,1.5870909384370013,-2.433474312624842
additive,14,49992.20643031947,False,240,False,-0.935710445991693,-0.5511882757633212,1.7279030963360407,2009,False,2.42353606632215,-2.2768125496325733
additive,15,49541.1138636079,False,240,False,1.4073667156315688,1.4391156831212786,0.9415102896684938,2009,False,1.6898202981417443,-2.4979721254869194
additive,16,49566.26046687284,False,240,False,1.551278283943697,1.3815510557964275,0.788526851509195,2009,False,1.7071872989154762,-2.326521369710717
additive,17,49525.25789453249,False,240,False,1.5876188037822707,1.208857173821874,0.6398079121728402,2009,False,1.589219723223191,-2.401870039043449
additive,18,49608.20785625256,False,240,False,1.727353207372349,1.125162527413684,0.43544879452091634,2009,False,1.58782438133286,-2.3537861303111884
additive,19,50190.67361167728,False,240,True,-2.0465109238595,2.302585092994046,1.8714089513150407,2009,False,2.0624573414806204,-2.4471479468548507
se,0,54033.09353587682,True,121,False,1.5804072452119144,1.3903203822322816,-2.0006629709572716,2010,False,,
